"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.136916","999","6829","2698","0.0832282","0.118636","29435","26148","0","0","0","0","0","0.353744","0.289354","89796","5442","9942","0","0","0","0","0","0","0","0","0","2","0","0","220537","353666","7725","3307","537","116","2081","1613","306","24436","96960","1772","1554","70","285","156","18149","1655","0","0","73138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","io","io","L100","L103","0.136997","999","6829","2698","0.0833484","0.118741","29435","26148","0","0","0","0","0","0.355222","0.288973","89551","5442","9878","0","0","0","0","0","0","0","0","0","1","0","0","220343","353156","7712","3295","533","115","2065","1608","303","24386","96943","1760","1542","69","282","151","18101","1653","0","0","72978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L109539","com","com","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.558087","245","0","64","0","0","0","0","0","0","0","0","0","1","0","0","194","510","13","12","11","1","16","5","3","50","17","12","12","1","3","3","48","2","0","0","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","netty","io.netty","L104","L103","0.136997","999","6829","2698","0.0833484","0.118741","29435","26148","0","0","0","0","0","0.355222","0.288973","89551","5442","9878","0","0","0","0","0","0","0","0","0","12","0","0","220343","353156","7712","3295","533","115","2065","1608","303","24386","96943","1760","1542","69","282","150","18101","1653","0","0","72978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L109540","sun","com.sun","L109539","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.558087","245","0","64","0","0","0","0","0","0","0","0","0","1","0","0","194","510","13","12","11","1","16","5","3","50","17","12","12","1","3","2","48","2","0","0","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","buffer","io.netty.buffer","L105","L103","0.134586","107","634","250","0.0473833","0.0574122","67","67","0.218496","0.176812","5763","430","1538","0.218496","0.176812","5763","430","1538","26831","38123","291","158","1","491","8","4095","19","0","3156","432","26831","38123","291","158","15","1","109","491","8","4095","12257","19","66","0","7","0","3156","432","0","0","10387","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13790","handler","io.netty.handler","L105","L103","0.14756","556","2926","1426","0.0844102","0.121344","14985","13062","0","0","0","0","0","0.37651","0.310814","48546","2805","4645","0","0","0","0","0","0","0","0","0","10","0","0","107644","177526","4319","1502","298","88","1112","619","161","10888","48928","1339","822","51","149","46","7983","520","0","0","32123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L66763","util","io.netty.util","L105","L103","0.124839","83","785","233","0","0","0","0","0.557692","0.311315","2743","232","184","0.473391","0.347947","13492","765","851","6068","10073","249","100","1","10","17","570","36","2","443","6","25284","43040","1007","397","22","2","178","127","53","2647","12401","84","137","2","50","4","1957","55","0","0","7323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L80638","example","io.netty.example","L105","L103","0.140415","67","445","172","0.109066","0.156182","1843","1651","0","0","0","0","0","0.354592","0.299801","4527","278","506","0","0","0","0","0","0","0","0","0","23","0","0","10573","16898","394","230","57","4","169","118","4","833","3665","72","167","2","4","47","664","17","0","0","3466","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L85230","microbench","io.netty.microbench","L105","L103","0.0188775","3","16","6","0.0156522","0.0207072","72","65","0","0","0","0","0","0.0726496","0.206722","818","17","217","0","0","0","0","0","0","0","0","0","8","0","0","3139","4600","180","51","27","5","39","55","2","405","924","46","31","5","0","10","348","18","0","0","1168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L86894","microbenchmark","io.netty.microbenchmark","L105","L103","0.0218201","1","2","1","0.0154321","0.0213777","10","9","0","0","0","0","0","0","0.185687","96","0","25","0","0","0","0","0","0","0","0","0","1","0","0","421","648","29","10","11","2","6","0","0","32","102","8","5","2","0","1","18","0","0","0","129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L87065","resolver","io.netty.resolver","L105","L103","0.0514561","10","43","21","0","0","0","0","0.622951","0.438806","588","38","23","0.603175","0.275806","1523","114","75","752","1536","18","23","0","1","3","84","3","1","49","0","3999","6403","146","73","29","0","46","9","5","360","1574","4","30","0","5","1","209","2","0","0","914","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L89228","osgitests","io.netty.osgitests","L105","L103","0","0","0","0","0","0","0","0","0","0.314815","34","0","3","0","0.314815","34","0","3","74","129","4","1","0","0","0","2","0","0","2","0","74","129","4","1","10","0","2","0","0","2","9","0","1","0","0","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L89263","testsuite","io.netty.testsuite","L105","L103","0.154785","31","517","113","0.125386","0.152768","1016","905","0","0","0","0","0","0.039823","0.148484","1033","9","217","0","0","0","0","0","0","0","0","0","3","0","0","5924","8103","278","147","17","1","51","2","2","496","2442","6","45","0","2","7","367","0","0","0","2435","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L91857","channel","io.netty.channel","L105","L103","0.126411","165","1365","441","0.0234869","0.0313316","26","24","0.433333","0.312448","5211","403","527","0.341657","0.273113","12667","903","1740","11467","19214","384","249","2","35","34","1620","75","12","1263","61","33713","53245","980","661","80","12","319","187","67","4369","13491","182","209","7","64","17","3209","607","0","0","14109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108232","test","io.netty.test","L105","L103","0.172688","9","55","18","0.119342","0.173818","290","239","0","0","0","0","0","0.646465","0.309713","625","64","35","0","0","0","0","0","0","0","0","0","1","0","0","1393","2430","56","26","15","0","24","0","0","110","579","0","21","0","0","5","83","2","0","0","356","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108933","bootstrap","io.netty.bootstrap","L105","L103","0.175033","9","41","17","0.158228","0.230508","75","68","0.686747","0.240563","427","57","26","0.686747","0.240563","427","57","26","1348","2011","28","39","0","0","1","149","0","0","105","0","1348","2011","28","39","15","0","10","0","1","149","571","0","8","0","1","0","105","0","0","0","561","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L109541","nio","com.sun.nio","L109540","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.558087","245","0","64","0","0","0","0","0","0","0","0","0","1","0","0","194","510","13","12","11","1","16","5","3","50","17","12","12","1","3","1","48","2","0","0","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13791","codec","io.netty.handler.codec","L13790","L103","0.161393","511","2635","1328","0.284722","0.422222","41","38","0.343307","0.343533","3458","218","417","0.358809","0.312298","40675","2338","4178","6608","11610","156","92","3","161","5","1009","14","24","824","78","89569","148114","3644","1202","257","77","964","460","146","9103","41606","1273","724","43","138","35","6792","462","0","0","27215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L57354","proxy","io.netty.handler.proxy","L13790","L103","0.0518808","6","17","12","0","0","0","0","0.22807","0.165533","365","13","44","0.22807","0.165533","365","13","44","1840","2620","101","36","1","0","0","161","3","0","75","3","1840","2620","101","36","17","1","14","0","0","161","680","3","7","0","0","0","75","3","0","0","581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L58306","flow","io.netty.handler.flow","L13790","L103","0","0","0","0","0","0","0","0","0.375","0.320789","179","6","10","0.375","0.320789","179","6","10","379","649","12","12","0","0","0","35","0","0","25","0","379","649","12","12","17","0","3","0","0","35","169","0","2","0","0","0","25","0","0","0","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L58508","flush","io.netty.handler.flush","L13790","L103","0.129484","1","2","2","0","0","0","0","0.181818","0.303763","113","4","18","0.181818","0.303763","113","4","18","259","410","8","5","0","0","0","29","0","0","23","0","259","410","8","5","17","0","3","0","0","29","131","0","2","0","0","0","23","0","0","0","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L58623","ipfilter","io.netty.handler.ipfilter","L13790","L103","0","0","0","0","0","0","0","0","0.380952","0.37218","198","8","13","0.380952","0.37218","198","8","13","334","623","13","12","1","0","1","39","2","0","21","0","334","623","13","12","17","1","8","0","1","39","129","2","5","1","1","0","21","0","0","0","118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L58876","logging","io.netty.handler.logging","L13790","L103","0.0315434","1","6","2","0.0666667","0.0940171","24","22","0.23913","0.235382","157","11","35","0.23913","0.235382","157","11","35","510","763","17","5","1","0","0","57","5","0","47","0","510","763","17","5","17","1","4","0","0","57","233","5","2","1","0","0","47","0","0","0","141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L59112","ssl","io.netty.handler.ssl","L13790","L103","0.0601121","28","166","58","0","0","0","0","0.483696","0.28823","4582","267","285","0.5","0.29112","4901","285","285","11315","17968","336","171","7","138","13","1104","42","1","746","40","11934","19058","362","185","18","7","92","142","13","1175","4722","43","61","5","9","1","785","42","0","0","3180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L65226","stream","io.netty.handler.stream","L13790","L103","0.0421836","2","12","3","0.0879121","0.158416","16","16","0.520548","0.295809","360","38","35","0.520548","0.295809","360","38","35","857","1394","30","14","0","0","1","91","0","0","83","0","857","1394","30","14","17","0","8","0","1","91","354","0","6","0","1","0","83","0","0","0","215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L65581","timeout","io.netty.handler.timeout","L13790","L103","0.110818","1","12","3","0","0","0","0","0.633333","0.479121","436","19","11","0.633333","0.479121","436","19","11","474","1023","44","12","1","3","0","46","11","0","28","0","474","1023","44","12","11","1","9","3","0","46","178","11","7","1","0","0","28","0","0","0","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
