"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.130003","246","850","594","0.0938838","0.11554","6688","5803","0","0","0","0","0","0.226059","0.196949","12318","779","2667","0","0","0","0","0","0","0","0","0","1","0","0","50226","71237","1616","611","162","17","273","311","25","4876","25507","367","244","8","22","25","3984","191","0","0","15270","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","okhttp3","okhttp3","L100","L103","0.130003","246","850","594","0","0","0","0","0.215781","0.186291","5058","402","1461","0.226059","0.196949","12318","779","2667","22093","30991","595","223","11","97","12","2329","196","12","2004","86","50226","71237","1616","611","162","17","273","311","25","4876","25507","367","244","8","22","24","3984","191","0","0","15270","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L230","benchmarks","okhttp3.benchmarks","L104","L103","0","0","0","0","0","0","0","0","0.25","0.21447","166","1","3","0.25","0.21447","166","1","3","608","896","44","22","1","0","1","55","5","0","37","0","608","896","44","22","9","1","9","0","1","55","236","5","1","0","0","0","37","0","0","0","206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L918","internal","okhttp3.internal","L104","L103","0.14028","129","425","287","0","0","0","0","0.459016","0.357238","269","28","33","0.232085","0.205667","5865","285","943","484","842","25","11","0","2","1","60","13","11","53","1","22652","32328","770","273","84","3","124","175","9","2060","12013","117","106","2","8","12","1587","76","0","0","6568","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11362","mockwebserver","okhttp3.mockwebserver","L104","L103","0.00688421","1","2","1","0","0","0","0","0.46281","0.231127","447","56","65","0.46281","0.231127","447","56","65","1487","2187","70","20","1","26","0","151","13","0","128","21","1487","2187","70","20","13","1","9","26","0","151","772","13","8","1","0","0","128","21","0","0","345","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12017","curl","okhttp3.curl","L104","L103","0","0","0","0","0","0","0","0","0","0.0946746","32","0","12","0","0.0946746","32","0","12","306","392","17","5","0","3","0","28","13","0","15","0","306","392","17","5","13","0","2","3","0","28","139","13","2","0","0","0","15","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12253","android","okhttp3.android","L104","L103","0","0","0","0","0","0","0","0","0.52","0.301282","94","13","12","0.52","0.301282","94","13","12","218","360","5","3","0","6","0","28","2","0","25","1","218","360","5","3","9","0","2","6","0","28","88","2","2","0","0","0","25","1","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12357","apache","okhttp3.apache","L104","L103","0.0588235","1","2","2","0","0","0","0","0.0333333","0.0316027","14","1","29","0.0333333","0.0316027","14","1","29","429","533","7","4","0","3","0","41","0","0","35","2","429","533","7","4","13","0","3","3","0","41","235","0","2","0","0","0","35","2","0","0","109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12496","logging","okhttp3.logging","L104","L103","0.263455","8","18","18","0","0","0","0","0.0571429","0.111745","98","2","33","0.0571429","0.111745","98","2","33","779","1006","19","6","1","1","1","44","6","0","36","5","779","1006","19","6","13","1","2","1","1","44","272","6","2","1","1","0","36","5","0","0","247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12764","testing","okhttp3.testing","L104","L103","0","0","0","0","0","0","0","0","0.25","0.344828","20","1","3","0.25","0.344828","20","1","3","38","65","2","2","0","0","0","4","0","0","4","0","38","65","2","2","9","0","1","0","0","4","18","0","1","0","0","0","4","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
