"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0582129","6","48","13","0.0549544","0.0672663","193","172","0","0","0","0","0","0.226601","0.10735","314","46","157","0","0","0","0","0","0","0","0","0","1","0","0","2611","3512","89","65","37","0","44","28","5","235","843","14","45","0","5","13","188","0","0","0","863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0582129","6","48","13","0.0549544","0.0672663","193","172","0","0","0","0","0","0.226601","0.10735","314","46","157","0","0","0","0","0","0","0","0","0","1","0","0","2611","3512","89","65","37","0","44","28","5","235","843","14","45","0","5","12","188","0","0","0","863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","zhy","com.zhy","L104","L103","0.0582129","6","48","13","0.0549544","0.0672663","193","172","0","0","0","0","0","0.226601","0.10735","314","46","157","0","0","0","0","0","0","0","0","0","2","0","0","2611","3512","89","65","37","0","44","28","5","235","843","14","45","0","5","11","188","0","0","0","863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","http","com.zhy.http","L105","L103","0.0758721","6","48","13","0.0694744","0.0854871","193","172","0","0","0","0","0","0.248485","0.103659","238","41","124","0","0","0","0","0","0","0","0","0","1","0","0","2058","2778","78","51","25","0","36","23","5","191","665","12","36","0","5","9","148","0","0","0","718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1664","sample_okhttp","com.zhy.sample_okhttp","L105","L103","0","0","0","0","0","0","0","0","0.131579","0.120827","76","5","33","0.131579","0.120827","76","5","33","553","734","11","14","0","5","0","44","2","0","40","0","553","734","11","14","15","0","8","5","0","44","178","2","9","0","0","0","40","0","0","0","145","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","okhttp","com.zhy.http.okhttp","L106","L103","0.0758721","6","48","13","0","0","0","0","0.0952381","0.030303","6","2","19","0.248485","0.103659","238","41","124","192","234","8","6","0","3","0","22","5","7","22","0","2058","2778","78","51","25","0","36","23","5","191","665","12","36","0","5","8","148","0","0","0","718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L140","builder","com.zhy.http.okhttp.builder","L107","L103","0.0591341","1","4","2","0.149254","0.196078","10","10","0.210526","0.0851064","24","8","30","0.210526","0.0851064","24","8","30","258","360","16","8","0","0","1","30","3","0","29","0","258","360","16","8","12","0","8","0","1","30","63","3","8","0","1","0","29","0","0","0","113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L429","callback","com.zhy.http.okhttp.callback","L107","L103","0","0","0","0","0","0","0","0","0.47619","0.228155","47","10","11","0.47619","0.228155","47","10","11","159","261","4","7","0","0","1","19","1","0","19","0","159","261","4","7","12","0","6","0","1","19","42","1","5","0","1","0","19","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L633","cookie","com.zhy.http.okhttp.cookie","L107","L103","0","0","0","0","0","0","0","0","0.2","0.0909091","3","1","4","0.206897","0.119369","53","6","23","30","42","1","1","0","1","0","4","0","1","4","0","391","525","10","4","13","0","6","7","2","32","155","0","4","0","2","1","23","0","0","0","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L938","https","com.zhy.http.okhttp.https","L107","L103","0.134933","2","22","5","0.137339","0.163265","32","32","0.333333","0.0147059","3","1","2","0.333333","0.0147059","3","1","2","201","233","4","5","0","3","0","12","2","0","9","0","201","233","4","5","12","0","1","3","0","12","68","2","2","0","0","0","9","0","0","0","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1105","log","com.zhy.http.okhttp.log","L107","L103","0","0","0","0","0","0","0","0","0.25","0.0402685","6","1","3","0.25","0.0402685","6","1","3","143","166","3","1","0","0","0","7","1","0","3","0","143","166","3","1","12","0","1","0","0","7","61","1","1","0","0","0","3","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
