"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.115671","150","1375","389","0.0719831","0.102158","4191","3749","0","0","0","0","0","0.355338","0.264866","13225","689","1250","0","0","0","0","0","0","0","0","0","2","0","0","36706","58222","1717","422","82","10","243","438","28","2673","16629","401","253","5","27","46","1919","205","0","0","7991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.116546","146","1349","381","0.07242","0.102927","4054","3625","0","0","0","0","0","0.353879","0.265498","12733","666","1216","0","0","0","0","0","0","0","0","0","1","0","0","35226","55979","1638","409","76","9","240","409","27","2541","15812","387","250","5","26","39","1823","181","0","0","7647","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17458","third_parties","third_parties","L100","L103","0.0911263","4","26","8","0.0610789","0.0838404","137","124","0","0","0","0","0","0.403509","0.249493","492","23","34","0","0","0","0","0","0","0","0","0","3","0","0","1480","2243","79","13","11","1","3","29","1","132","817","14","3","0","1","5","96","24","0","0","344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","owncloud","com.owncloud","L104","L103","0.116546","146","1349","381","0.07242","0.102927","4054","3625","0","0","0","0","0","0.353879","0.265498","12733","666","1216","0","0","0","0","0","0","0","0","0","1","0","0","35226","55979","1638","409","76","9","240","409","27","2541","15812","387","250","5","26","38","1823","181","0","0","7647","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17459","daveKoeller","third_parties.daveKoeller","L17458","L103","0","0","0","0","0","0","0","0","0.5","0.36036","40","1","1","0.5","0.36036","40","1","1","71","123","0","1","0","1","0","3","0","0","1","0","71","123","0","1","7","0","1","1","0","3","47","0","1","0","0","0","1","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17486","in","third_parties.in","L17458","L103","0.229996","4","26","8","0.162515","0.204959","137","124","0","0","0","0","0","0.333333","0.199735","151","7","14","0","0","0","0","0","0","0","0","0","1","0","0","605","843","22","4","9","0","1","16","0","53","316","5","1","0","0","2","43","7","0","0","182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17795","michaelOrtiz","third_parties.michaelOrtiz","L17458","L103","0","0","0","0","0","0","0","0","0.441176","0.272398","301","15","19","0.441176","0.272398","301","15","19","804","1277","57","8","1","12","1","76","9","0","52","17","804","1277","57","8","7","1","1","12","1","76","454","9","1","0","1","0","52","17","0","0","151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","android","com.owncloud.android","L105","L103","0.116546","146","1349","381","0","0","0","0","0.363636","0.289308","46","4","7","0.353879","0.265498","12733","666","1216","113","200","5","2","0","9","0","17","0","16","17","0","35226","55979","1638","409","76","9","240","409","27","2541","15812","387","250","5","26","37","1823","181","0","0","7647","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17487","srain","third_parties.in.srain","L17486","L103","0.229996","4","26","8","0.162515","0.204959","137","124","0","0","0","0","0","0.333333","0.199735","151","7","14","0","0","0","0","0","0","0","0","0","1","0","0","605","843","22","4","9","0","1","16","0","53","316","5","1","0","0","1","43","7","0","0","182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L116","authentication","com.owncloud.android.authentication","L106","L103","0.0651015","13","290","35","0","0","0","0","0.380952","0.233508","669","32","52","0.380952","0.233508","669","32","52","2196","3389","123","26","0","16","2","138","32","0","81","5","2196","3389","123","26","15","0","10","16","2","138","1053","32","15","0","2","0","81","5","0","0","395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
