"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0735552","41","233","98","0.0556344","0.0723588","1372","1289","0","0","0","0","0","0.213699","0.176764","3825","234","861","0","0","0","0","0","0","0","0","0","2","0","0","17814","24661","1221","421","38","1","144","247","16","1735","7101","283","166","1","16","26","1297","234","0","0","6431","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","io","io","L100","L103","0.0757377","41","233","98","0.0575238","0.074755","1372","1289","0","0","0","0","0","0.21785","0.177102","3711","227","815","0","0","0","0","0","0","0","0","0","1","0","0","17243","23851","1153","412","28","0","136","238","15","1685","6862","260","157","0","15","20","1255","215","0","0","6273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11644","in","in","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.132075","0.166423","114","7","46","0","0","0","0","0","0","0","0","0","1","0","0","571","810","68","9","13","1","8","9","1","50","239","23","9","1","1","4","42","19","0","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","plaidapp","io.plaidapp","L104","L103","0.0757377","41","233","98","0.0575238","0.074755","1372","1289","0","0","0","0","0","0.21785","0.177102","3711","227","815","0","0","0","0","0","0","0","0","0","3","0","0","17243","23851","1153","412","28","0","136","238","15","1685","6862","260","157","0","15","19","1255","215","0","0","6273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11645","uncod","in.uncod","L11644","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.132075","0.166423","114","7","46","0","0","0","0","0","0","0","0","0","1","0","0","571","810","68","9","13","1","8","9","1","50","239","23","9","1","1","3","42","19","0","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","data","io.plaidapp.data","L105","L103","0.170799","17","110","48","0","0","0","0","0.2","0.185263","176","12","48","0.176471","0.201166","932","63","294","774","1093","33","29","0","8","3","103","16","3","72","2","3701","5390","372","84","19","0","47","64","10","417","1330","214","53","0","10","9","347","90","0","0","1929","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2957","ui","io.plaidapp.ui","L105","L103","0.0494628","20","85","42","0","0","0","0","0.0851064","0.0854396","551","8","86","0.194444","0.150505","2055","98","406","5898","7087","345","180","0","40","1","483","23","5","304","8","11599","15393","699","285","15","0","64","139","4","1051","4758","34","75","0","4","5","730","91","0","0","3671","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10483","util","io.plaidapp.util","L105","L103","0.0790274","4","38","8","0.158358","0.214592","54","50","0.317568","0.241114","502","47","101","0.364641","0.271466","724","66","115","1580","2391","67","34","0","30","0","186","12","2","152","33","1943","3068","82","43","12","0","25","35","1","217","774","12","29","0","1","2","178","34","0","0","673","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11646","android","in.uncod.android","L11645","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.132075","0.166423","114","7","46","0","0","0","0","0","0","0","0","0","1","0","0","571","810","68","9","13","1","8","9","1","50","239","23","9","1","1","2","42","19","0","0","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L125","api","io.plaidapp.data.api","L106","L103","0.156476","11","48","25","0","0","0","0","0.4","0.396907","77","4","6","0.182171","0.216906","680","47","211","117","229","5","4","0","1","0","9","0","3","7","0","2455","3669","289","51","17","0","35","41","6","270","848","186","35","0","6","6","241","84","0","0","1190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
