"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.104411","1409","9630","4323","0.0887718","0.107896","47092","42437","0","0","0","0","0","0.0361463","0.131409","60199","1007","26852","0","0","0","0","0","0","0","0","0","2","0","0","397904","530484","13199","4333","798","132","3573","8368","291","33334","127871","1723","3484","109","271","183","27088","984","0","0","112767","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.104354","1407","9612","4319","0.0887398","0.107861","47061","42413","0","0","0","0","0","0.0361182","0.13137","60164","1006","26847","0","0","0","0","0","0","0","0","0","2","0","0","397808","530326","13199","4331","791","132","3571","8367","291","33327","127826","1723","3482","109","271","177","27084","984","0","0","112734","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L151928","org","org","L100","L103","0.315582","2","18","4","0.196203","0.255319","31","24","0","0","0","0","0","0.166667","0.267176","35","1","5","0","0","0","0","0","0","0","0","0","1","0","0","96","158","0","2","18","0","2","1","0","7","45","0","2","0","0","4","4","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","facebook","com.facebook","L104","L103","0.104362","1407","9612","4319","0.0887501","0.107868","47061","42413","0","0","0","0","0","0.0361234","0.131329","60138","1006","26843","0","0","0","0","0","0","0","0","0","1","0","0","397781","530264","13199","4329","788","132","3569","8367","291","33324","127822","1723","3480","109","271","173","27082","984","0","0","112722","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L151826","datastax","com.datastax","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.490566","26","0","4","0","0","0","0","0","0","0","0","0","1","0","0","27","62","0","2","11","0","2","0","0","3","4","0","2","0","0","2","2","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L151929","apache","org.apache","L151928","L103","0.315582","2","18","4","0.196203","0.255319","31","24","0","0","0","0","0","0.166667","0.267176","35","1","5","0","0","0","0","0","0","0","0","0","2","0","0","96","158","0","2","18","0","2","1","0","7","45","0","2","0","0","3","4","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","presto","com.facebook.presto","L105","L103","0.104362","1407","9612","4319","0","0","0","0","0.0197044","0.117454","286","4","199","0.0361234","0.131329","60138","1006","26843","2149","2798","120","24","1","70","0","198","34","49","181","14","397781","530264","13199","4329","788","132","3569","8367","291","33324","127822","1723","3480","109","271","172","27082","984","0","0","112722","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L151827","driver","com.datastax.driver","L151826","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.490566","26","0","4","0","0","0","0","0","0","0","0","0","1","0","0","27","62","0","2","11","0","2","0","0","3","4","0","2","0","0","1","2","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L151930","log4j","org.apache.log4j","L151929","L103","0.441989","2","18","4","0.295238","0.380952","31","24","0.333333","0.255814","22","1","2","0.333333","0.255814","22","1","2","64","105","0","1","0","0","0","4","0","0","2","0","64","105","0","1","10","0","1","0","0","4","31","0","1","0","0","0","2","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L151974","hadoop","org.apache.hadoop","L151929","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.288889","13","0","3","0","0","0","0","0","0","0","0","0","1","0","0","32","53","0","1","11","0","1","1","0","3","14","0","1","0","0","1","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
