"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.235093","478","4429","1325","0.146983","0.194814","13655","12082","0","0","0","0","0","0.277951","0.234855","19050","1340","3481","0","0","0","0","0","0","0","0","0","2","0","0","62064","92902","2117","1133","251","33","445","836","51","6310","31678","827","396","20","41","72","5276","604","0","0","23049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","io","io","L100","L103","0.236361","477","4405","1321","0.149293","0.197214","13607","12046","0","0","0","0","0","0.289606","0.233238","18594","1329","3260","0","0","0","0","0","0","0","0","0","1","0","0","61127","91143","2053","1104","251","33","415","788","50","6105","31429","822","368","20","40","69","5071","553","0","0","22471","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L28728","some","some","L100","L103","0.092519","1","24","4","0.0272882","0.0384205","48","36","0","0","0","0","0","0.0474138","0.327351","456","11","221","0","0","0","0","0","0","0","0","0","1","0","0","937","1759","64","29","10","0","30","48","1","205","249","5","28","0","1","1","205","51","0","0","578","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","realm","io.realm","L104","L103","0.236361","477","4405","1321","0.554004","0.565747","754","697","0.378591","0.19367","9430","817","1341","0.289606","0.233238","18594","1329","3260","39261","54711","726","640","26","173","19","3086","360","19","2716","108","61127","91143","2053","1104","251","33","415","788","50","6105","31429","822","368","20","40","68","5071","553","0","0","22471","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L28729","test","some.test","L28728","L103","0.092519","1","24","4","0","0","0","0","0.0474138","0.327351","456","11","221","0.0474138","0.327351","456","11","221","937","1759","64","29","0","48","1","205","5","0","205","51","937","1759","64","29","10","0","30","48","1","205","249","5","28","0","1","0","205","51","0","0","578","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L231","examples","io.realm.examples","L105","L103","0.02233","3","8","6","0.012512","0.0174292","91","72","0","0","0","0","0","0.116095","0.319888","1943","44","335","0","0","0","0","0","0","0","0","0","13","0","0","4131","7273","226","192","155","0","94","96","4","491","1364","24","91","0","3","35","385","73","0","0","1662","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3772","gradle","io.realm.gradle","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","4","6","1","1","0","0","0","0","1","0","0","0","4","6","1","1","7","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3781","annotations","io.realm.annotations","L105","L103","0","0","0","0","0","0","0","0","0.714286","0.740741","200","5","2","0.714286","0.740741","200","5","2","70","305","0","0","0","0","0","3","0","0","0","0","70","305","0","0","10","0","7","0","0","3","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3840","transformer","io.realm.transformer","L105","L103","0","0","0","0","0","0","0","0","0.461538","0.336667","101","6","7","0.461538","0.336667","101","6","7","199","339","15","5","0","5","0","17","2","0","10","0","199","339","15","5","11","0","4","5","0","17","68","2","4","0","0","0","10","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4068","processor","io.realm.processor","L105","L103","0.188179","18","97","51","0.0712589","0.100671","30","30","0.34127","0.142465","622","43","83","0.34127","0.142465","622","43","83","3744","4779","93","35","0","26","3","213","9","0","140","1","3744","4779","93","35","17","0","14","26","3","213","1521","9","14","0","0","0","140","1","0","0","914","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
