"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.110718","3","22","20","0.0812523","0.116279","218","210","0","0","0","0","0","0.1","0.209628","479","12","108","0","0","0","0","0","0","0","0","0","1","0","0","1806","2683","71","58","27","2","35","14","1","221","614","39","34","0","1","9","124","5","0","0","896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","jp","jp","L100","L103","0.110718","3","22","20","0.0812523","0.116279","218","210","0","0","0","0","0","0.1","0.209628","479","12","108","0","0","0","0","0","0","0","0","0","1","0","0","1806","2683","71","58","27","2","35","14","1","221","614","39","34","0","1","8","124","5","0","0","896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","wasabeef","jp.wasabeef","L104","L103","0.110718","3","22","20","0.0812523","0.116279","218","210","0","0","0","0","0","0.1","0.209628","479","12","108","0","0","0","0","0","0","0","0","0","2","0","0","1806","2683","71","58","27","2","35","14","1","221","614","39","34","0","1","7","124","5","0","0","896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","recyclerview","jp.wasabeef.recyclerview","L105","L103","0.117842","2","18","18","0","0","0","0","0.5","0.272727","3","1","1","0.0727273","0.236695","467","8","102","8","14","0","1","0","0","0","1","0","3","1","0","1506","2318","37","41","19","0","31","12","1","194","524","11","30","0","1","4","101","5","0","0","735","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L888","example","jp.wasabeef.example","L105","L103","0.0824176","1","4","2","0.0767123","0.0733333","28","22","0","0","0","0","0","0.4","0.0384615","12","4","6","0","0","0","0","0","0","0","0","0","1","0","0","300","365","34","17","11","2","4","2","0","27","90","28","4","0","0","1","23","0","0","0","161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L131","adapters","jp.wasabeef.recyclerview.adapters","L106","L103","0","0","0","0","0","0","0","0","0.222222","0.365854","90","6","21","0.222222","0.365854","90","6","21","156","301","9","6","0","10","0","27","0","0","21","4","156","301","9","6","11","0","6","10","0","27","40","0","6","0","0","0","21","4","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L292","animators","jp.wasabeef.recyclerview.animators","L106","L103","0.132876","2","18","18","0.0431034","0.0478632","30","28","0","0.214585","359","0","74","0","0.21331","359","0","79","1314","1948","28","33","0","2","0","161","11","1","74","1","1324","1965","28","33","12","0","23","2","1","165","472","11","22","0","1","1","78","1","0","0","667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L879","internal","jp.wasabeef.recyclerview.internal","L106","L103","0","0","0","0","0","0","0","0","0.5","0.454545","15","1","1","0.5","0.454545","15","1","1","18","38","0","1","0","0","0","1","0","0","1","0","18","38","0","1","11","0","1","0","0","1","11","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L889","recyclerview","jp.wasabeef.example.recyclerview","L888","L103","0.0824176","1","4","2","0.116667","0.105769","14","11","0.4","0.0384615","12","4","6","0.4","0.0384615","12","4","6","300","365","34","17","2","2","0","27","28","0","23","0","300","365","34","17","11","2","4","2","0","27","90","28","4","0","0","0","23","0","0","0","161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L733","holder","jp.wasabeef.recyclerview.animators.holder","L292","L103","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","10","17","0","0","0","0","1","4","0","0","4","0","10","17","0","0","12","0","1","0","1","4","0","0","0","0","1","0","4","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
