"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0482129","20","77","56","0.0355539","0.0504934","673","481","0","0","0","0","0","0.492218","0.387435","6025","506","522","0","0","0","0","0","0","0","0","0","1","0","0","9526","18929","362","189","49","3","169","93","14","1212","3690","67","142","3","14","32","1052","12","0","0","2464","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","spark","spark","L100","L103","0.0482129","20","77","56","0","0","0","0","0.501832","0.401903","2745","274","272","0.492218","0.387435","6025","506","522","4085","8341","152","57","1","20","6","642","29","14","570","3","9526","18929","362","189","49","3","169","93","14","1212","3690","67","142","3","14","31","1052","12","0","0","2464","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L252","embeddedserver","spark.embeddedserver","L104","L103","0.0405251","1","2","2","0","0","0","0","0.857143","0.653061","128","12","2","0.364865","0.319188","346","27","47","68","228","3","2","1","0","2","10","1","1","9","0","738","1362","22","24","16","1","21","5","3","66","253","2","17","1","3","2","61","1","0","0","198","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L980","globalstate","spark.globalstate","L104","L103","0","0","0","0","0","0","0","0","0.333333","0.347222","25","3","6","0.333333","0.347222","25","3","6","47","95","1","2","0","0","0","7","0","0","7","0","47","95","1","2","12","0","2","0","0","7","11","0","2","0","0","0","7","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1041","http","spark.http","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.571429","0.247768","222","4","3","0","0","0","0","0","0","0","0","0","1","0","0","674","1127","21","10","9","0","10","3","0","104","226","0","2","0","0","1","89","2","0","0","249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2120","resource","spark.resource","L104","L103","0.0408312","1","6","2","0","0","0","0","0.893939","0.480408","613","59","7","0.893939","0.480408","613","59","7","663","1440","11","8","0","27","2","64","0","0","56","0","663","1440","11","8","8","0","10","27","2","64","305","0","8","0","2","0","56","0","0","0","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3016","route","spark.route","L104","L103","0.116222","3","9","9","0","0","0","0","0.377358","0.308615","283","20","33","0.377358","0.308615","283","20","33","634","1099","32","12","1","1","0","68","12","0","46","0","634","1099","32","12","12","1","11","1","0","68","270","12","9","1","0","0","46","0","0","0","199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3443","routematch","spark.routematch","L104","L103","0","0","0","0","0","0","0","0","0.833333","0.54386","31","5","1","0.833333","0.54386","31","5","1","26","69","4","1","0","4","0","5","0","0","5","0","26","69","4","1","8","0","1","4","0","5","9","0","1","0","0","0","5","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3464","serialization","spark.serialization","L104","L103","0","0","0","0","0","0","0","0","1","0.594828","138","8","0","1","0.594828","138","8","0","94","270","2","5","0","0","0","12","0","0","12","1","94","270","2","5","8","0","5","0","0","12","25","0","2","0","0","0","12","1","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3819","servlet","spark.servlet","L104","L103","0","0","0","0","0","0","0","0","0.266667","0.259023","122","8","22","0.266667","0.259023","122","8","22","349","579","15","7","0","11","1","34","2","0","28","0","349","579","15","7","12","0","6","11","1","34","144","2","4","0","1","0","28","0","0","0","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
