"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0539722","331","1530","832","0.0290545","0.04784","9278","9013","0","0","0","0","0","0.241355","0.300506","80975","3727","11715","0","0","0","0","0","0","0","0","0","8","0","0","188487","319331","6974","5184","2185","73","3102","3669","245","19653","59541","864","2835","56","199","491","15209","1581","0","0","60497","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.0484071","291","1257","702","0.0260811","0.0425889","7563","7383","0","0","0","0","0","0.257218","0.293669","72112","3528","10188","0","0","0","0","0","0","0","0","0","2","0","0","173443","289980","6175","4660","1052","64","2579","3317","189","18116","56309","704","2384","47","154","318","13795","1467","0","0","54227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82581","cli","cli","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4","0.6","36","2","3","0","0","0","0","0","0","0","0","0","1","0","0","24","74","0","2","9","0","2","1","0","3","4","0","2","0","0","1","3","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L82599","sample","sample","L100","L103","0.08254","29","126","82","0","0","0","0","0.190476","0.5311","222","4","17","0.126246","0.384511","7924","190","1315","196","523","8","14","0","0","0","14","0","54","13","0","12684","25369","643","462","1066","6","464","306","50","1310","2529","112","401","6","39","147","1214","111","0","0","5085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L89739","com","com","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.576923","30","0","4","0","0","0","0","0","0","0","0","0","1","0","0","22","64","0","2","10","0","2","0","0","2","2","0","2","0","0","1","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L89764","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0.5","0.714286","15","1","1","0.5","0.714286","15","1","1","6","25","0","1","0","0","0","1","0","0","1","0","6","25","0","1","12","0","1","0","0","1","2","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L89778","test","test","L100","L103","0","0","0","0","0","0","0","0","0","0.416667","30","0","2","0","0.416667","30","0","2","42","84","0","2","0","0","0","2","0","0","2","0","42","84","0","2","18","0","2","0","0","2","8","0","2","0","0","0","2","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L89799","samples","samples","L100","L103","0.313708","13","147","48","0.19407","0.310482","720","702","0","0","0","0","0","0.0289855","0.264476","813","6","201","0","0","0","0","0","0","0","0","0","1","0","0","2261","3710","156","54","58","3","51","45","6","219","687","48","42","3","6","16","192","3","0","0","1149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L91041","sampleconfig","sampleconfig","L100","L103","0","0","0","0","0","0","0","0","0","0.75","15","0","1","0","0.75","15","0","1","5","25","0","1","0","0","0","0","0","0","0","0","5","25","0","1","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","springframework","org.springframework","L104","L103","0.0480786","289","1242","697","0.0258821","0.0422152","7473","7302","0","0","0","0","0","0.257257","0.292354","71497","3527","10183","0","0","0","0","0","0","0","0","0","1","0","0","173059","288732","6166","4617","810","64","2539","3317","186","18064","56212","704","2344","47","151","316","13744","1467","0","0","53926","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
