"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.13081","2585","12638","7320","0.0683283","0.110692","68301","60663","0","0","0","0","0","0.41965","0.352784","298727","19669","27201","0","0","0","0","0","0","0","0","0","5","0","0","548043","999601","16923","11261","1173","93","6538","10672","1138","60244","232957","2699","5946","60","939","545","49291","5733","0","0","171985","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0.5","0.555556","5","1","1","0.5","0.555556","5","1","1","4","10","0","1","0","0","0","1","0","0","1","0","4","10","0","1","5","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L119","org","org","L100","L103","0.130945","2585","12638","7320","0.0684497","0.110831","68301","60663","0","0","0","0","0","0.420125","0.352495","297974","19640","27108","0","0","0","0","0","0","0","0","0","2","0","0","547354","997828","16885","11227","1157","93","6493","10660","1134","60155","232855","2684","5912","60","935","530","49215","5727","0","0","171681","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L267558","test","test","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.163265","0.541841","259","8","41","0","0","0","0","0","0","0","0","0","4","0","0","219","587","11","11","18","0","15","4","2","34","29","2","11","0","2","5","34","2","0","0","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L267662","example","example","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.352941","0.562414","410","18","33","0","0","0","0","0","0","0","0","0","4","0","0","319","903","22","17","12","0","24","3","2","34","30","13","17","0","2","4","26","0","0","0","136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L267812","com","com","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.349558","79","2","18","0","0","0","0","0","0","0","0","0","1","0","0","147","273","5","5","8","0","5","5","0","20","43","0","5","0","0","1","15","4","0","0","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L120","aopalliance","org.aopalliance","L119","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.883663","357","19","0","0","0","0","0","0","0","0","0","0","2","0","0","47","454","0","1","11","0","9","5","8","10","2","0","1","0","8","2","10","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L228","springframework","org.springframework","L119","L103","0.130952","2585","12638","7320","0.0684808","0.11084","68301","60663","0","0","0","0","0","0.419889","0.352241","297617","19621","27108","0","0","0","0","0","0","0","0","0","37","0","0","547307","997374","16885","11226","1154","93","6484","10655","1126","60145","232853","2684","5911","60","927","526","49205","5727","0","0","171677","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L267559","annotation","test.annotation","L267558","L103","0","0","0","0","0","0","0","0","0","0.625","15","0","1","0","0.576923","30","0","2","9","29","0","0","0","0","0","0","0","1","0","0","22","61","0","0","10","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L267566","aop","test.aop","L267558","L103","0","0","0","0","0","0","0","0","0.105263","0.521212","86","2","17","0.105263","0.521212","86","2","17","79","206","5","4","0","2","1","14","1","0","14","1","79","206","5","4","9","0","5","2","1","14","11","1","4","0","1","0","14","1","0","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
