"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.028071","2","4","4","0.0176471","0.0277008","45","40","0","0","0","0","0","0.357143","0.330862","714","45","81","0","0","0","0","0","0","0","0","0","1","0","0","1444","2550","50","32","26","0","34","24","4","139","338","0","22","0","4","10","130","18","0","0","337","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.028071","2","4","4","0.0176471","0.0277008","45","40","0","0","0","0","0","0.357143","0.330862","714","45","81","0","0","0","0","0","0","0","0","0","1","0","0","1444","2550","50","32","26","0","34","24","4","139","338","0","22","0","4","9","130","18","0","0","337","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","springframework","org.springframework","L104","L103","0.028071","2","4","4","0.0176471","0.0277008","45","40","0","0","0","0","0","0.357143","0.330862","714","45","81","0","0","0","0","0","0","0","0","0","1","0","0","1444","2550","50","32","26","0","34","24","4","139","338","0","22","0","4","8","130","18","0","0","337","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","samples","org.springframework.samples","L105","L103","0.028071","2","4","4","0.0176471","0.0277008","45","40","0","0","0","0","0","0.357143","0.330862","714","45","81","0","0","0","0","0","0","0","0","0","1","0","0","1444","2550","50","32","26","0","34","24","4","139","338","0","22","0","4","7","130","18","0","0","337","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","petclinic","org.springframework.samples.petclinic","L106","L103","0.028071","2","4","4","0","0","0","0","0.5","0.7","21","1","1","0.357143","0.330862","714","45","81","9","36","0","1","0","0","0","1","0","6","1","0","1444","2550","50","32","26","0","34","24","4","139","338","0","22","0","4","6","130","18","0","0","337","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L119","model","org.springframework.samples.petclinic.model","L107","L103","0","0","0","0","0","0","0","0","0.266667","0.432927","71","4","11","0.266667","0.432927","71","4","11","93","206","4","4","0","4","0","12","0","0","11","4","93","206","4","4","18","0","5","4","0","12","23","0","4","0","0","0","11","4","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L216","owner","org.springframework.samples.petclinic.owner","L107","L103","0.0252536","1","2","2","0","0","0","0","0.298507","0.273191","321","20","47","0.298507","0.273191","321","20","47","854","1374","32","14","0","12","2","85","0","0","79","10","854","1374","32","14","18","0","14","12","2","85","181","0","9","0","2","0","79","10","0","0","201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L684","system","org.springframework.samples.petclinic.system","L107","L103","0","0","0","0","0","0","0","0","0.333333","0.251969","32","1","2","0.333333","0.251969","32","1","2","95","152","2","5","0","0","0","6","0","0","6","0","95","152","2","5","18","0","4","0","0","6","7","0","1","0","0","0","6","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L723","vet","org.springframework.samples.petclinic.vet","L107","L103","0","0","0","0","0","0","0","0","0.428571","0.407407","121","6","8","0.428571","0.407407","121","6","8","176","349","5","5","0","4","1","14","0","0","12","1","176","349","5","5","18","0","6","4","1","14","37","0","4","0","1","0","12","1","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L821","visit","org.springframework.samples.petclinic.visit","L107","L103","0","0","0","0","0","0","0","0","0.909091","0.636986","93","10","1","0.909091","0.636986","93","10","1","53","171","3","1","0","3","1","9","0","0","9","3","53","171","3","1","11","0","2","3","1","9","7","0","1","0","1","0","9","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L857","service","org.springframework.samples.petclinic.service","L107","L103","0.0972222","1","2","2","0.111111","0.120805","23","18","0.214286","0.251142","55","3","11","0.214286","0.251142","55","3","11","164","262","4","2","0","1","0","12","0","0","12","0","164","262","4","2","11","0","2","1","0","12","82","0","2","0","0","0","12","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
