"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0711048","305","1156","743","0.0433996","0.0686029","7817","6543","0","0","0","0","0","0.398398","0.383832","59418","3282","4956","0","0","0","0","0","0","0","0","0","5","0","0","95384","180117","3539","1894","955","11","1618","1170","186","9497","34952","308","1313","8","168","243","7813","856","0","0","24981","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.0727054","301","1146","733","0.0443733","0.0701971","7715","6470","0","0","0","0","0","0.401857","0.383576","57358","3159","4702","0","0","0","0","0","0","0","0","0","1","0","0","92177","173866","3391","1811","855","10","1531","1103","172","9119","33890","300","1243","7","154","218","7466","805","0","0","23992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L44788","sample","sample","L100","L103","0.0240615","3","7","7","0","0","0","0","0.166667","0.404332","112","3","15","0.433962","0.379537","1213","92","120","165","317","3","4","0","0","0","15","0","6","14","1","1983","3755","74","47","62","0","42","33","7","211","717","4","35","0","7","9","189","24","0","0","502","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L45840","samples","samples","L100","L103","0.0133366","1","1","1","0.151163","0.192982","13","11","0.166667","0.24","18","1","5","0.233333","0.377455","519","28","92","57","86","0","1","0","0","0","5","0","3","5","0","856","1649","54","21","38","1","26","27","3","105","231","3","20","1","3","7","97","18","0","0","289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L46348","bigbank","bigbank","L100","L103","0.0571429","1","2","2","0","0","0","0","0.0625","0.455378","199","2","30","0.0526316","0.463576","280","2","36","238","524","15","8","0","7","4","49","0","1","49","9","324","732","19","12","18","0","16","7","4","57","102","0","12","0","4","1","57","9","0","0","170","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L46564","heavyduty","heavyduty","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.142857","0.521739","48","1","6","0","0","0","0","0","0","0","0","0","2","0","0","44","115","1","3","12","0","3","0","0","5","12","1","3","0","0","3","4","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","springframework","org.springframework","L104","L103","0.0727054","301","1146","733","0.0443733","0.0701971","7715","6470","0","0","0","0","0","0.401857","0.383576","57358","3159","4702","0","0","0","0","0","0","0","0","0","1","0","0","92177","173866","3391","1811","855","10","1531","1103","172","9119","33890","300","1243","7","154","217","7466","805","0","0","23992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L44809","aspectj","sample.aspectj","L44788","L103","0","0","0","0","0","0","0","0","0.142857","0.418675","139","4","24","0.142857","0.418675","139","4","24","193","393","8","7","0","0","0","28","0","0","28","0","193","393","8","7","26","0","7","0","0","28","34","0","7","0","0","0","28","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L44913","contact","sample.contact","L44788","L103","0.0452837","3","7","7","0","0","0","0","0.42268","0.305422","445","41","56","0.42268","0.305422","445","41","56","1012","1740","31","20","0","21","2","101","3","0","89","18","1012","1740","31","20","15","0","15","21","2","101","407","3","13","0","2","0","89","18","0","0","285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L45390","dms","sample.dms","L44788","L103","0","0","0","0","0","0","0","0","0.461538","0.386454","194","12","14","0.441176","0.389205","274","15","19","308","567","20","9","0","6","1","32","1","1","24","1","430","798","23","12","12","0","9","8","2","39","185","1","7","0","2","1","30","1","0","0","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
