"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0988878","154","1372","420","0.0722911","0.102328","4855","4295","0","0","0","0","0","0.386336","0.259447","14706","1261","2003","0","0","0","0","0","0","0","0","0","5","0","0","41976","67159","1480","1011","417","5","726","766","85","4150","15069","137","637","5","83","94","3473","459","0","0","13841","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.0787313","127","1141","289","0.0556127","0.0809898","3137","2805","0","0","0","0","0","0.395409","0.276482","13236","1223","1870","0","0","0","0","0","0","0","0","0","1","0","0","34637","56408","1333","704","231","5","540","678","83","3531","13281","131","449","5","82","86","3001","437","0","0","10214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17681","net","net","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.257732","25","3","0","0","0","0","0","0","0","0","0","0","1","0","0","72","113","1","2","10","0","1","1","0","3","30","0","1","0","0","2","2","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17707","demo","demo","L100","L103","0.132846","14","66","52","0.282609","0.311688","26","24","0.258065","0.191329","1090","16","46","0.258065","0.191329","1090","16","46","4607","7027","78","223","0","35","1","340","0","0","256","7","4607","7027","78","223","158","0","160","35","1","340","787","0","160","0","0","0","256","7","0","0","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19496","client","client","L100","L103","0.0534759","1","4","2","0","0","0","0","0.153846","0.20274","74","2","11","0.153846","0.20274","74","2","11","291","447","10","12","0","0","0","22","0","0","21","0","291","447","10","12","22","0","8","0","0","22","34","0","8","0","0","0","21","0","0","0","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19612","sparklr","sparklr","L100","L103","0.339061","39","161","77","0.324273","0.36049","1026","854","0","0","0","0","0","0.182796","0.106038","281","17","76","0","0","0","0","0","0","0","0","0","1","0","0","2369","3164","58","70","18","0","17","52","1","254","937","6","19","0","1","1","193","15","0","0","1488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","springframework","org.springframework","L104","L103","0.0787313","127","1141","289","0.0556127","0.0809898","3137","2805","0","0","0","0","0","0.395409","0.276482","13236","1223","1870","0","0","0","0","0","0","0","0","0","1","0","0","34637","56408","1333","704","231","5","540","678","83","3531","13281","131","449","5","82","85","3001","437","0","0","10214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17682","oauth","net.oauth","L17681","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.257732","25","3","0","0","0","0","0","0","0","0","0","0","1","0","0","72","113","1","2","10","0","1","1","0","3","30","0","1","0","0","1","2","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19613","common","sparklr.common","L19612","L103","0.339061","39","161","77","0.561265","0.619565","142","114","0.182796","0.106038","281","17","76","0.182796","0.106038","281","17","76","2369","3164","58","70","0","52","1","254","6","0","193","15","2369","3164","58","70","18","0","17","52","1","254","937","6","19","0","1","0","193","15","0","0","1488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","security","org.springframework.security","L105","L103","0.0787313","127","1141","289","0.0556127","0.0809898","3137","2805","0","0","0","0","0","0.395409","0.276482","13236","1223","1870","0","0","0","0","0","0","0","0","0","4","0","0","34637","56408","1333","704","231","5","540","678","83","3531","13281","131","449","5","82","84","3001","437","0","0","10214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17683","signature","net.oauth.signature","L17682","L103","0","0","0","0","0","0","0","0","1","0.257732","25","3","0","1","0.257732","25","3","0","72","113","1","2","0","1","0","3","0","0","2","0","72","113","1","2","10","0","1","1","0","3","30","0","1","0","0","0","2","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","oauth","org.springframework.security.oauth","L106","L103","0.0948818","37","199","70","0.0599527","0.0975268","937","836","0","0","0","0","0","0.6267","0.359582","4813","507","302","0","0","0","0","0","0","0","0","0","5","0","0","8572","15629","289","173","108","3","170","243","31","841","3387","37","135","3","31","28","724","157","0","0","2068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5745","oauth2","org.springframework.security.oauth2","L106","L103","0.0781763","104","942","219","0","0","0","0","1","0.625","20","1","0","0.313528","0.237177","7648","686","1502","12","37","0","1","0","0","0","0","0","5","0","0","24598","38296","970","503","105","2","346","429","45","2567","9381","78","296","2","44","47","2194","279","0","0","7830","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16651","samples","org.springframework.security.samples","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.428571","0.445313","57","3","4","0","0","0","0","0","0","0","0","0","1","0","0","71","146","3","5","23","0","3","0","0","2","1","0","5","0","0","1","2","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16679","jwt","org.springframework.security.jwt","L106","L103","0","0","0","0","0","0","0","0","0.25641","0.272189","184","10","29","0.303371","0.33964","718","27","62","492","792","30","11","0","4","3","57","2","2","39","1","1396","2337","71","23","24","0","21","6","7","121","512","16","13","0","7","4","81","1","0","0","301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L108","examples","org.springframework.security.oauth.examples","L107","L103","0.130246","11","60","20","0.0965228","0.135475","322","312","0","0","0","0","0","0.35","0.182464","514","63","117","0","0","0","0","0","0","0","0","0","3","0","0","2303","3336","69","53","67","0","42","54","5","214","762","4","38","0","5","10","197","40","0","0","712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1773","common","org.springframework.security.oauth.common","L107","L103","0.194386","6","46","9","0","0","0","0","0.857143","0.531856","192","12","2","0.888889","0.516854","828","80","10","169","433","15","4","2","0","0","9","13","1","8","0","774","1853","33","17","21","2","24","16","5","69","315","17","17","2","5","1","66","5","0","0","157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2402","config","org.springframework.security.oauth.config","L107","L103","0.178968","9","60","17","0.518868","0.544304","55","43","0.289474","0.219178","208","11","27","0.289474","0.219178","208","11","27","741","1125","7","14","0","8","0","37","0","0","24","10","741","1125","7","14","19","0","14","8","0","37","339","0","14","0","0","0","24","10","0","0","194","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2682","consumer","org.springframework.security.oauth.consumer","L107","L103","0.0828879","9","27","20","0","0","0","0","0.510204","0.569314","423","50","48","0.598253","0.34952","1202","137","92","320","888","26","10","0","42","4","84","0","6","84","23","2237","4020","85","40","28","0","33","90","8","241","974","11","26","0","8","6","214","48","0","0","599","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4188","provider","org.springframework.security.oauth.provider","L107","L103","0.0185843","2","6","4","0","0","0","0","0.819444","0.597463","518","59","13","0.794118","0.450197","2061","216","56","349","1007","20","10","0","27","6","56","0","6","56","11","2517","5295","95","49","27","1","57","75","13","280","997","5","40","1","13","6","223","54","0","0","406","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5755","provider","org.springframework.security.oauth2.provider","L5745","L103","0.0764058","69","743","152","0.143791","0.16129","22","20","0.388646","0.285015","873","89","140","0.31631","0.232285","4160","384","830","2190","3610","63","52","0","55","7","261","11","14","232","22","13749","21279","548","264","60","1","177","206","25","1405","5467","30","151","1","24","16","1203","184","0","0","4376","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12142","client","org.springframework.security.oauth2.client","L5745","L103","0.0400355","7","52","13","0","0","0","0","0.46","0.259151","177","23","27","0.347932","0.257486","1393","143","268","506","808","17","12","0","11","3","57","0","5","52","8","4017","6490","155","89","39","0","59","129","13","481","1505","8","48","0","13","13","427","69","0","0","1257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13988","common","org.springframework.security.oauth2.common","L5745","L103","0.152684","13","81","25","0","0","0","0","0.342342","0.295804","423","38","73","0.329787","0.297039","963","93","189","1007","1680","39","17","1","18","3","107","12","3","99","8","2279","3817","79","52","22","1","55","48","5","251","896","34","48","1","5","3","236","13","0","0","838","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14832","config","org.springframework.security.oauth2.config","L5745","L103","0.090696","15","61","27","0.0607542","0.0793245","348","310","0","0","0","0","0","0.24359","0.194393","943","57","177","0","0","0","0","0","0","0","0","0","2","0","0","3908","5728","163","87","29","0","44","38","2","357","1281","6","42","0","2","8","274","6","0","0","1163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16329","http","org.springframework.security.oauth2.http","L5745","L103","0.0298817","2","5","2","0.0190476","0.0268562","18","17","0","0","0","0","0","0.173913","0.210723","169","8","38","0","0","0","0","0","0","0","0","0","1","0","0","633","945","25","10","23","0","10","8","0","73","232","0","6","0","0","2","54","7","0","0","196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16652","config","org.springframework.security.samples.config","L16651","L103","0","0","0","0","0","0","0","0","0.428571","0.445313","57","3","4","0.428571","0.445313","57","3","4","71","146","3","5","0","0","0","2","0","0","2","0","71","146","3","5","23","0","3","0","0","2","1","0","5","0","0","0","2","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16708","codec","org.springframework.security.jwt.codec","L16679","L103","0","0","0","0","0","0","0","0","0.384615","0.408983","346","5","8","0.384615","0.408983","346","5","8","500","843","20","5","0","2","0","29","6","0","15","0","500","843","20","5","12","0","2","2","0","29","202","6","1","0","0","0","15","0","0","0","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16922","crypto","org.springframework.security.jwt.crypto","L16679","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.324324","0.317568","188","12","25","0","0","0","0","0","0","0","0","0","2","0","0","404","702","21","7","23","0","11","0","4","35","135","8","6","0","4","2","27","0","0","0","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L109","sparklr","org.springframework.security.oauth.examples.sparklr","L108","L103","0.098689","3","26","6","0","0","0","0","1","0.608511","143","17","0","0.5","0.253852","346","40","40","92","276","10","3","0","12","2","23","0","4","23","8","1017","1581","34","21","33","0","20","32","2","95","299","0","18","0","2","4","87","24","0","0","237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L945","config","org.springframework.security.oauth.examples.config","L108","L103","0.0565517","1","2","2","0","0","0","0","0.0588235","0.061017","18","1","16","0.0588235","0.061017","18","1","16","277","342","2","4","0","1","0","28","0","0","22","0","277","342","2","4","15","0","3","1","0","28","95","0","3","0","0","0","22","0","0","0","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1136","tonr","org.springframework.security.oauth.examples.tonr","L108","L103","0.181223","7","32","12","0","0","0","0","0.319149","0.15156","102","15","32","0.26506","0.129422","150","22","61","571","831","18","16","0","12","3","52","4","3","49","2","1009","1413","33","28","39","0","19","21","3","91","368","4","17","0","3","3","88","16","0","0","387","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1885","signature","org.springframework.security.oauth.common.signature","L1773","L103","0.120755","3","28","6","0.165775","0.252427","31","26","0.894737","0.51249","636","68","8","0.894737","0.51249","636","68","8","605","1420","18","13","0","16","5","60","4","0","58","5","605","1420","18","13","21","0","18","16","5","60","240","4","13","0","5","0","58","5","0","0","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2785","client","org.springframework.security.oauth.consumer.client","L2682","L103","0.110914","6","20","15","0.0260973","0.0326087","22","18","0.666667","0.207353","282","38","19","0.666667","0.207353","282","38","19","1078","1554","23","15","0","26","0","85","7","0","69","12","1078","1554","23","15","21","0","4","26","0","85","557","7","5","0","0","0","69","12","0","0","269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3520","filter","org.springframework.security.oauth.consumer.filter","L2682","L103","0.0125479","1","1","1","0.019084","0.0290323","10","9","0.763158","0.309585","239","29","9","0.763158","0.309585","239","29","9","533","873","23","7","0","15","0","45","2","0","37","13","533","873","23","7","21","0","3","15","0","45","218","2","3","0","0","0","37","13","0","0","96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3852","net","org.springframework.security.oauth.consumer.net","L2682","L103","0.189239","1","4","2","0","0","0","0","0.6","0.515464","100","6","4","0.6","0.515464","100","6","4","94","225","10","3","0","4","1","8","0","0","6","0","94","225","10","3","13","0","4","4","1","8","24","0","3","0","1","0","6","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3941","nonce","org.springframework.security.oauth.consumer.nonce","L2682","L103","0","0","0","0","0","0","0","0","0.75","0.803571","45","3","1","0.75","0.803571","45","3","1","11","65","0","1","0","0","1","2","0","0","2","0","11","65","0","1","13","0","2","0","1","2","1","0","1","0","1","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4076","rememberme","org.springframework.security.oauth.consumer.rememberme","L2682","L103","0.221898","1","2","2","0","0","0","0","0.428571","0.28022","51","6","8","0.428571","0.28022","51","6","8","131","257","2","3","0","0","1","10","1","0","10","0","131","257","2","3","21","0","4","0","1","10","62","1","3","0","1","0","10","0","0","0","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4131","token","org.springframework.security.oauth.consumer.token","L2682","L103","0","0","0","0","0","0","0","0","0.625","0.469697","62","5","3","0.625","0.469697","62","5","3","70","158","1","1","0","3","1","7","1","0","6","0","70","158","1","1","13","0","2","3","1","7","31","1","1","0","1","0","6","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4207","attributes","org.springframework.security.oauth.provider.attributes","L4188","L103","0","0","0","0","0","0","0","0","0.785714","0.518405","169","11","3","0.785714","0.518405","169","11","3","157","381","5","3","1","2","0","11","4","0","6","0","157","381","5","3","13","1","7","2","0","11","49","4","3","1","0","0","6","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
