"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0495056","6","41","15","0.029044","0.0392344","151","123","0","0","0","0","0","0.5","0.257637","1088","199","199","0","0","0","0","0","0","0","0","0","1","0","0","3135","5199","165","77","74","1","63","42","4","355","1235","65","71","1","4","25","333","26","0","0","771","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.0495056","6","41","15","0.029044","0.0392344","151","123","0","0","0","0","0","0.5","0.257637","1088","199","199","0","0","0","0","0","0","0","0","0","1","0","0","3135","5199","165","77","74","1","63","42","4","355","1235","65","71","1","4","24","333","26","0","0","771","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","springside","org.springside","L104","L103","0.0495056","6","41","15","0.029044","0.0392344","151","123","0","0","0","0","0","0.5","0.257637","1088","199","199","0","0","0","0","0","0","0","0","0","2","0","0","3135","5199","165","77","74","1","63","42","4","355","1235","65","71","1","4","23","333","26","0","0","771","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","examples","org.springside.examples","L105","L103","0.0960778","4","29","11","0.0665805","0.0732839","103","79","0","0","0","0","0","0.190476","0.0902954","107","20","85","0","0","0","0","0","0","0","0","0","2","0","0","1078","1547","87","27","40","1","30","3","3","84","344","49","26","1","3","14","75","0","0","0","331","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L863","modules","org.springside.modules","L105","L103","0.0179326","2","12","4","0.0131435","0.0213904","48","44","0","0","0","0","0","0.610922","0.32291","981","179","114","0","0","0","0","0","0","0","0","0","4","0","0","2057","3652","78","50","37","0","33","39","1","271","891","16","45","0","1","7","258","26","0","0","440","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L107","bootapi","org.springside.examples.bootapi","L106","L103","0.10151","4","29","11","0","0","0","0","1","0.55","11","2","0","0.177083","0.0915619","102","17","79","9","24","0","1","0","0","0","1","0","7","1","0","1012","1456","86","23","29","1","26","3","3","79","328","49","22","1","3","9","70","0","0","0","309","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L818","showcase","org.springside.examples.showcase","L106","L103","0","0","0","0","0","0","0","0","0","0","0","0","2","0.333333","0.0704225","5","3","6","9","13","0","1","0","0","0","1","0","3","1","0","66","91","1","4","15","0","4","0","0","5","16","0","4","0","0","3","5","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L864","mapper","org.springside.modules.mapper","L863","L103","0","0","0","0","0","0","0","0","0.695652","0.296825","187","32","14","0.695652","0.296825","187","32","14","443","762","13","9","0","9","0","51","0","0","48","7","443","762","13","9","18","0","5","9","0","51","195","0","7","0","0","0","48","7","0","0","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1260","constants","org.springside.modules.constants","L863","L103","0","0","0","0","0","0","0","0","1","0.47619","20","2","0","1","0.47619","20","2","0","22","56","15","2","0","0","0","0","15","0","0","0","22","56","15","2","12","0","2","0","0","0","0","15","2","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1296","utils","org.springside.modules.utils","L863","L103","0.0267898","2","12","4","0","0","0","0","0.561644","0.323642","679","123","96","0.561644","0.323642","679","123","96","1419","2512","48","35","0","24","1","195","1","0","188","19","1419","2512","48","35","18","0","22","24","1","195","615","1","32","0","1","0","188","19","0","0","336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
