"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.0399117","21","189","46","0.0292099","0.0386445","732","658","0","0","0","0","0","0.185291","0.19437","4108","194","853","0","0","0","0","0","0","0","0","0","1","0","0","17027","25060","1015","459","116","13","240","273","64","1731","6105","432","196","12","58","32","1261","40","0","0","5835","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.0399117","21","189","46","0.0292099","0.0386445","732","658","0","0","0","0","0","0.185291","0.19437","4108","194","853","0","0","0","0","0","0","0","0","0","1","0","0","17027","25060","1015","459","116","13","240","273","64","1731","6105","432","196","12","58","31","1261","40","0","0","5835","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","facebook","com.facebook","L104","L103","0.0399117","21","189","46","0.0292099","0.0386445","732","658","0","0","0","0","0","0.185291","0.19437","4108","194","853","0","0","0","0","0","0","0","0","0","1","0","0","17027","25060","1015","459","116","13","240","273","64","1731","6105","432","196","12","58","30","1261","40","0","0","5835","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","stetho","com.facebook.stetho","L105","L103","0.0399117","21","189","46","0","0","0","0","0.551724","0.294821","148","16","13","0.185291","0.19437","4108","194","853","354","571","18","11","0","6","2","44","0","12","29","0","17027","25060","1015","459","116","13","240","273","64","1731","6105","432","196","12","58","29","1261","40","0","0","5835","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L120","rhino","com.facebook.stetho.rhino","L106","L103","0.0466636","1","8","2","0","0","0","0","0.466667","0.3136","196","7","8","0.466667","0.3136","196","7","8","429","711","12","8","0","1","0","32","0","0","18","0","429","711","12","8","17","0","5","1","0","32","221","0","3","0","0","0","18","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L493","okhttp3","com.facebook.stetho.okhttp3","L106","L103","0.496384","7","16","7","0.264808","0.311927","76","68","0.142857","0.0802348","41","1","6","0.142857","0.0802348","41","1","6","470","598","18","8","0","0","0","42","1","0","38","1","470","598","18","8","17","0","2","0","0","42","155","1","2","0","0","0","38","1","0","0","201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L772","okhttp","com.facebook.stetho.okhttp","L106","L103","0.473632","7","16","7","0.257627","0.302222","76","68","0.142857","0.0810811","42","1","6","0.142857","0.0810811","42","1","6","476","605","18","8","0","0","0","42","1","0","38","1","476","605","18","8","17","0","2","0","0","42","156","1","2","0","0","0","38","1","0","0","201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L929","sample","com.facebook.stetho.sample","L106","L103","0","0","0","0","0","0","0","0","0.0625","0.134522","166","3","45","0.0625","0.134522","166","3","45","1068","1446","74","34","1","7","4","103","31","0","62","1","1068","1446","74","34","17","1","13","7","4","103","375","31","15","1","3","0","62","1","0","0","365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2142","timber","com.facebook.stetho.timber","L106","L103","0","0","0","0","0","0","0","0","1","0.303571","17","1","0","1","0.303571","17","1","0","39","64","0","1","0","0","0","1","0","0","0","0","39","64","0","1","11","0","1","0","0","1","15","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2189","urlconnection","com.facebook.stetho.urlconnection","L106","L103","0","0","0","0","0","0","0","0","0.571429","0.325095","171","8","6","0.571429","0.325095","171","8","6","355","611","23","8","0","4","1","43","0","0","41","0","355","611","23","8","11","0","8","4","1","43","99","0","2","0","1","0","41","0","0","0","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
