"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.28461","340","13546","2599","0.21949","0.296043","14897","13705","0","0","0","0","0","0.163176","0.210469","12344","896","4595","0","0","0","0","0","0","0","0","0","2","0","0","46306","67871","2100","632","67","86","449","1121","133","5740","20287","638","458","80","129","55","5232","455","0","0","21474","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","backtype","backtype","L100","L103","0.330095","331","13496","2568","0.261288","0.344929","14375","13227","0","0","0","0","0","0.192542","0.195221","9305","852","3573","0","0","0","0","0","0","0","0","0","1","0","0","38359","55016","1667","436","47","80","286","887","81","4637","17437","554","313","77","78","34","4215","441","0","0","17551","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L21111","storm","storm","L100","L103","0.04785","14","50","31","0.0406068","0.0601485","522","478","0","0","0","0","0","0.0412758","0.276625","3039","44","1022","0","0","0","0","0","0","0","0","0","1","0","0","7947","12855","433","196","26","6","163","234","52","1103","2850","84","145","3","51","19","1017","14","0","0","3923","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","storm","backtype.storm","L104","L103","0.330095","331","13496","2568","0.0204918","0.058309","20","20","0.125","0.528657","618","7","49","0.192542","0.195221","9305","852","3573","551","1364","227","6","0","8","3","56","225","22","51","22","38359","55016","1667","436","47","80","286","887","81","4637","17437","554","313","77","78","33","4215","441","0","0","17551","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L21112","trident","storm.trident","L21111","L103","0.04785","14","50","31","0","0","0","0","0.0470588","0.097493","105","4","81","0.0412758","0.276625","3039","44","1022","972","1260","10","5","1","12","0","125","2","12","85","0","7947","12855","433","196","26","6","163","234","52","1103","2850","84","145","3","51","18","1017","14","0","0","3923","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L120","clojure","backtype.storm.clojure","L105","L103","0.309811","2","12","4","0.208333","0.252874","25","22","0","0.215385","70","0","27","0","0.215385","70","0","27","255","378","12","6","0","4","0","23","0","0","23","0","255","378","12","6","9","0","4","4","0","23","73","0","4","0","0","0","23","0","0","0","127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L925","coordination","backtype.storm.coordination","L105","L103","0.185308","4","17","17","0","0","0","0","0.046875","0.125135","116","3","61","0.046875","0.125135","116","3","61","811","1061","37","29","1","24","4","120","10","0","109","5","811","1061","37","29","9","1","6","24","4","120","287","10","9","0","3","0","109","5","0","0","751","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1715","daemon","backtype.storm.daemon","L105","L103","0","0","0","0","0","0","0","0","0","0.809524","17","0","2","0","0.809524","17","0","2","4","22","0","0","0","0","1","1","0","0","1","0","4","22","0","0","9","0","1","0","1","1","0","0","0","0","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1720","drpc","backtype.storm.drpc","L105","L103","0.152154","4","19","17","0","0","0","0","0.0149254","0.154362","138","1","66","0.0149254","0.154362","138","1","66","756","1022","35","28","0","3","2","101","10","0","97","0","756","1022","35","28","9","0","8","3","2","101","274","10","7","0","1","0","97","0","0","0","621","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2319","generated","backtype.storm.generated","L105","L103","0.432553","310","13390","2495","0.349711","0.442231","121","111","0.204633","0.0914321","2686","583","2266","0.204633","0.0914321","2686","583","2266","26691","33961","884","138","77","557","6","2975","228","0","2672","358","26691","33961","884","138","9","77","36","557","6","2975","13298","228","116","77","6","0","2672","358","0","0","11976","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13939","grouping","backtype.storm.grouping","L105","L103","0","0","0","0","0","0","0","0","0.666667","0.769231","30","2","1","0.666667","0.769231","30","2","1","9","44","0","0","0","0","1","2","0","0","2","0","9","44","0","0","9","0","1","0","1","2","0","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13954","hooks","backtype.storm.hooks","L105","L103","0","0","0","0","0","0","0","0","0","0.386364","34","0","18","0","0.526119","141","0","30","54","101","0","1","0","0","1","16","0","1","16","0","127","298","19","7","10","0","8","0","1","22","19","19","7","0","1","1","22","0","0","0","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14122","messaging","backtype.storm.messaging","L105","L103","0.103067","3","12","6","0","0","0","0","0.470588","0.620321","116","8","9","0.428571","0.40885","462","12","16","71","211","3","2","0","0","2","13","1","1","13","0","668","1301","42","14","16","1","15","3","2","66","306","5","6","0","2","1","33","1","0","0","169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14626","metric","backtype.storm.metric","L105","L103","0","0","0","0","0","0","0","0","0.153846","0.269531","69","2","11","0.0298507","0.416667","290","2","65","187","294","13","10","0","5","0","19","1","1","19","0","406","789","33","21","10","0","16","14","5","58","123","11","13","0","5","1","58","1","0","0","216","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14992","nimbus","backtype.storm.nimbus","L105","L103","0","0","0","0","0","0","0","0","0","0.618182","34","0","6","0","0.618182","34","0","6","21","61","0","1","0","0","1","4","0","0","4","0","21","61","0","1","9","0","2","0","1","4","0","0","1","0","1","0","4","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15013","planner","backtype.storm.planner","L105","L103","0","0","0","0","0","0","0","0","0","0.736111","53","0","4","0","0.736111","53","0","4","19","83","2","3","0","0","0","1","2","0","1","0","19","83","2","3","9","0","3","0","0","1","2","2","3","0","0","0","1","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15030","scheduler","backtype.storm.scheduler","L105","L103","0.0387764","1","4","2","0.0458716","0.0661157","20","16","0.346154","0.418757","384","36","68","0.346154","0.418757","384","36","68","533","1077","23","7","0","51","4","94","0","0","93","2","533","1077","23","7","9","0","11","51","4","94","225","0","7","0","4","0","93","2","0","0","162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15514","security","backtype.storm.security","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.590164","0.40395","450","36","25","0","0","0","0","0","0","0","0","0","2","0","0","664","1260","43","16","13","0","14","8","2","58","238","5","13","0","2","4","48","2","0","0","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16064","serialization","backtype.storm.serialization","L105","L103","0","0","0","0","0","0","0","0","0.0227273","0.3456","216","1","43","0.0192308","0.383266","284","1","51","409","701","16","9","0","6","4","34","1","1","31","0","457","833","16","13","10","0","15","6","4","38","168","1","13","0","4","1","35","0","0","0","129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16393","spout","backtype.storm.spout","L105","L103","0","0","0","0","0","0","0","0","0.296875","0.59168","384","19","45","0.296875","0.59168","384","19","45","265","738","10","7","0","7","7","51","2","0","50","2","265","738","10","7","9","0","14","7","7","51","72","2","7","0","7","0","50","2","0","0","118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16609","state","backtype.storm.state","L105","L103","0","0","0","0","0","0","0","0","0","0.71831","102","0","16","0","0.71831","102","0","16","40","164","0","2","0","0","4","10","0","0","10","0","40","164","0","2","9","0","6","0","4","10","2","0","2","0","4","0","10","0","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16728","task","backtype.storm.task","L105","L103","0","0","0","0","0","0","0","0","0.554217","0.476881","526","46","37","0.554217","0.476881","526","46","37","577","1215","32","7","0","28","4","81","2","0","76","5","577","1215","32","7","9","0","9","28","4","81","216","2","5","0","4","0","76","5","0","0","136","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L17161","testing","backtype.storm.testing","L105","L103","0.0184644","1","4","2","0","0","0","0","0.030303","0.332265","726","7","224","0.030303","0.332265","726","7","224","1459","2569","97","42","0","41","2","215","14","0","209","12","1459","2569","97","42","9","0","39","41","2","215","431","14","37","0","2","0","209","12","0","0","652","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18103","topology","backtype.storm.topology","L105","L103","0","0","0","0","0","0","0","0","0.150538","0.504545","444","14","79","0.135135","0.544554","605","15","96","436","1026","12","10","0","5","11","103","1","1","96","17","506","1296","12","19","10","0","27","6","11","112","129","1","16","0","11","1","105","17","0","0","306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
