"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.133771","210","2563","604","0.118685","0.160234","5262","4920","0","0","0","0","0","0.382335","0.222461","8785","632","1021","0","0","0","0","0","0","0","0","0","3","0","0","30705","44336","1833","306","163","3","215","297","38","2105","14240","1055","225","3","34","59","1509","66","0","0","7540","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.137673","190","2127","533","0.12162","0.164238","4984","4644","0","0","0","0","0","0.394942","0.226333","8272","609","933","0","0","0","0","0","0","0","0","0","1","0","0","28276","40980","1683","272","135","3","197","288","35","1942","13180","944","207","3","34","45","1398","59","0","0","6982","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14972","org","org","L100","L103","0.0768738","7","105","20","0.0839895","0.0995851","96","96","0","0","0","0","0","0.0555556","0.0576735","59","1","17","0","0","0","0","0","0","0","0","0","1","0","0","964","1143","6","5","12","0","1","5","1","62","411","1","1","0","0","3","22","1","0","0","179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15514","tinker","tinker","L100","L103","0.100756","13","331","51","0.0822413","0.122867","182","180","0","0","0","0","0","0.236559","0.236582","454","22","71","0","0","0","0","0","0","0","0","0","1","0","0","1465","2213","144","29","27","0","17","4","2","101","649","110","17","0","0","8","89","6","0","0","379","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","tencent","com.tencent","L104","L103","0.137673","190","2127","533","0.12162","0.164238","4984","4644","0","0","0","0","0","0.394942","0.226333","8272","609","933","0","0","0","0","0","0","0","0","0","1","0","0","28276","40980","1683","272","135","3","197","288","35","1942","13180","944","207","3","34","44","1398","59","0","0","6982","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14973","jf","org.jf","L14972","L103","0.0768738","7","105","20","0.0839895","0.0995851","96","96","0","0","0","0","0","0.0555556","0.0576735","59","1","17","0","0","0","0","0","0","0","0","0","1","0","0","964","1143","6","5","12","0","1","5","1","62","411","1","1","0","0","2","22","1","0","0","179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15515","sample","tinker.sample","L15514","L103","0.100756","13","331","51","0.0822413","0.122867","182","180","0","0","0","0","0","0.236559","0.236582","454","22","71","0","0","0","0","0","0","0","0","0","1","0","0","1465","2213","144","29","27","0","17","4","2","101","649","110","17","0","0","7","89","6","0","0","379","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","tinker","com.tencent.tinker","L105","L103","0.137673","190","2127","533","0.12162","0.164238","4984","4644","0","0","0","0","0","0.394942","0.226333","8272","609","933","0","0","0","0","0","0","0","0","0","9","0","0","28276","40980","1683","272","135","3","197","288","35","1942","13180","944","207","3","34","43","1398","59","0","0","6982","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L14974","dexlib2","org.jf.dexlib2","L14973","L103","0.0768738","7","105","20","0.0839895","0.0995851","96","96","0","0","0","0","0","0.0555556","0.0576735","59","1","17","0","0","0","0","0","0","0","0","0","1","0","0","964","1143","6","5","12","0","1","5","1","62","411","1","1","0","0","1","22","1","0","0","179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15516","android","tinker.sample.android","L15515","L103","0.100756","13","331","51","0","0","0","0","0.5","0.679245","36","2","2","0.236559","0.236582","454","22","71","17","60","0","2","0","0","0","2","0","6","2","0","1465","2213","144","29","27","0","17","4","2","101","649","110","17","0","0","6","89","6","0","0","379","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
