"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.164084","505","3501","1625","0.128965","0.139349","17708","10548","0","0","0","0","0","0.329987","0.305897","33362","2498","5072","0","0","0","0","0","0","0","0","0","3","0","0","75701","137309","2267","799","106","14","672","762","112","9382","33950","493","509","10","109","71","7914","767","0","0","25804","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","io","io","L100","L103","0.164803","495","3466","1590","0.129474","0.139268","17257","10283","0","0","0","0","0","0.340446","0.304951","32398","2473","4791","0","0","0","0","0","0","0","0","0","1","0","0","73842","133285","2262","773","95","14","641","761","112","9093","33344","493","488","10","109","59","7627","763","0","0","24947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38076","docoverride","docoverride","L100","L103","0.0350877","1","1","1","0.0263543","0.0480769","18","5","0","0","0","0","0","0.266667","0.830065","508","4","11","0","0","0","0","0","0","0","0","0","6","0","0","104","683","0","5","15","0","12","0","0","11","25","0","4","0","0","8","11","0","0","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38142","examples","examples","L100","L103","0.139441","10","34","34","0","0","0","0","0.0674157","0.190904","361","18","249","0.0721649","0.206242","456","21","270","1530","2968","1","15","0","1","0","257","0","1","255","0","1755","3341","5","21","8","0","19","1","0","278","581","0","17","0","0","1","276","4","0","0","811","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","vertx","io.vertx","L104","L103","0.164803","495","3466","1590","0.129474","0.139268","17257","10283","0","0","0","0","0","0.340446","0.304951","32398","2473","4791","0","0","0","0","0","0","0","0","0","2","0","0","73842","133285","2262","773","95","14","641","761","112","9093","33344","493","488","10","109","58","7627","763","0","0","24947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38077","buffer","docoverride.buffer","L38076","L103","0","0","0","0","0","0","0","0","0.5","0.759259","41","1","1","0.5","0.759259","41","1","1","13","63","0","1","0","0","0","1","0","0","1","0","13","63","0","1","8","0","2","0","0","1","2","0","1","0","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38086","dependencies","docoverride.dependencies","L38076","L103","0","0","0","0","0","0","0","0","0","0.925","37","0","0","0","0.925","37","0","0","3","42","0","0","0","0","0","0","0","0","0","0","3","42","0","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38089","dns","docoverride.dns","L38076","L103","0.204545","1","1","1","0.36","0.357143","18","5","0.5","0.8","68","1","1","0.5","0.8","68","1","1","17","104","0","1","0","0","0","1","0","0","1","0","17","104","0","1","8","0","2","0","0","1","2","0","1","0","0","0","1","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38098","eventbus","docoverride.eventbus","L38076","L103","0","0","0","0","0","0","0","0","0.25","0.686047","59","1","3","0.25","0.73913","85","1","3","27","103","0","2","0","0","0","3","0","1","3","0","30","133","0","2","9","0","3","0","0","3","8","0","1","0","0","1","3","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L38121","json","docoverride.json","L38076","L103","0","0","0","0","0","0","0","0","0.142857","0.783951","127","1","6","0.142857","0.783951","127","1","6","35","180","0","1","0","0","0","6","0","0","6","0","35","180","0","1","8","0","2","0","0","6","13","0","1","0","0","0","6","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
