"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.115411","1986","19973","5989","0.0774319","0.118574","61336","52919","0","0","0","0","0","0.36828","0.346356","236640","11789","20222","0","0","0","0","0","0","0","0","0","1","0","0","446588","792128","22772","8657","2542","318","7505","8376","919","39258","161830","7284","6171","169","870","1376","29038","1875","0","0","133456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.115411","1986","19973","5989","0.0774319","0.118574","61336","52919","0","0","0","0","0","0.36828","0.346356","236640","11789","20222","0","0","0","0","0","0","0","0","0","5","0","0","446588","792128","22772","8657","2542","318","7505","8376","919","39258","161830","7284","6171","169","870","1375","29038","1875","0","0","133456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","jboss","org.jboss","L104","L103","0.127343","1751","17993","5356","0.0847989","0.130587","53453","46238","0","0","0","0","0","0.382916","0.348881","189835","9880","15922","0","0","0","0","0","0","0","0","0","3","0","0","354290","630350","17641","6922","1956","239","5987","6122","675","30792","131814","5348","5052","118","640","1173","22901","1546","0","0","105029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L171503","wildfly","org.wildfly","L104","L103","0.0696146","302","1958","624","0.0495812","0.0729635","7761","6577","0","0","0","0","0","0.304186","0.329755","44387","1795","4106","0","0","0","0","0","0","0","0","0","7","0","0","90219","156531","4986","1666","571","78","1426","2106","226","8080","29618","1920","1051","50","212","168","5757","203","0","0","27464","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L217152","jipijapa","org.jipijapa","L104","L103","0.0143959","1","6","1","0","0","0","0","1","0.721154","75","9","0","0.554054","0.679061","1041","82","66","29","120","1","0","0","0","1","8","1","5","8","0","492","1806","17","10","27","1","27","36","18","125","74","6","9","1","18","11","121","22","0","0","192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L217523","hibernate","org.hibernate","L104","L103","0.0952741","4","16","8","0.033383","0.0608021","112","94","0","0","0","0","0","0.196203","0.465052","1344","31","127","0","0","0","0","0","0","0","0","0","1","0","0","1546","3355","128","58","42","0","64","112","0","260","306","10","58","0","0","13","258","104","0","0","768","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L218428","apache","org.apache","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.445946","33","1","1","0","0","0","0","0","0","0","0","0","1","0","0","41","86","0","1","16","0","1","0","0","1","18","0","1","0","0","5","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","as","org.jboss.as","L105","L103","0.127379","1750","17985","5354","0.084861","0.130645","53429","46216","0","0","0","0","0","0.382779","0.348711","189518","9860","15899","0","0","0","0","0","0","0","0","0","28","0","0","353963","629606","17615","6921","1946","239","5982","6110","671","30742","131674","5332","5051","118","636","1168","22863","1546","0","0","104931","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L171272","system","org.jboss.system","L105","L103","0.0733802","1","8","2","0","0","0","0","0.548387","0.45539","245","17","14","0.439024","0.457627","270","18","23","293","618","24","1","0","11","2","40","14","1","28","0","320","684","25","1","11","0","4","11","3","49","140","15","1","0","3","1","37","0","0","0","94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L171493","iiop","org.jboss.iiop","L105","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.87037","47","2","0","0","0","0","0","0","0","0","0","0","1","0","0","7","60","1","0","11","0","1","1","1","1","0","1","0","0","1","1","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
