"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.116077","162","2078","468","0.0917812","0.125698","3693","3333","0","0","0","0","0","0.296866","0.237664","8284","521","1234","0","0","0","0","0","0","0","0","0","2","0","0","26572","40237","1264","493","322","28","305","337","24","2595","9703","288","243","8","19","44","1956","113","0","0","8886","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","com","com","L100","L103","0.473878","86","1784","281","0.332663","0.470568","1489","1399","0","0","0","0","0","0.418605","0.257598","1051","90","125","0","0","0","0","0","0","0","0","0","1","0","0","3029","4476","133","21","11","5","6","45","0","242","1591","74","5","5","0","3","229","48","0","0","948","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1507","zipkin","zipkin","L100","L103","0.0761132","80","294","187","0","0","0","0","0.351852","0.351555","746","57","105","0.27987","0.235021","7233","431","1109","1376","2452","112","21","1","0","2","171","72","10","140","0","23543","35761","1131","472","318","23","299","292","24","2353","8112","214","238","3","19","39","1727","65","0","0","7938","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","twitter","com.twitter","L104","L103","0.473878","86","1784","281","0.332663","0.470568","1489","1399","0","0","0","0","0","0.418605","0.257598","1051","90","125","0","0","0","0","0","0","0","0","0","1","0","0","3029","4476","133","21","11","5","6","45","0","242","1591","74","5","5","0","2","229","48","0","0","948","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1531","benchmarks","zipkin.benchmarks","L1507","L103","0.0375427","1","2","1","0","0","0","0","0.139535","0.155556","84","6","37","0.139535","0.155556","84","6","37","456","609","24","4","0","0","0","48","0","0","39","0","456","609","24","4","9","0","4","0","0","48","102","0","4","0","0","0","39","0","0","0","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1793","internal","zipkin.internal","L1507","L103","0.0467663","13","32","28","0","0","0","0","0.284404","0.186357","907","62","156","0.284404","0.186357","907","62","156","3960","5532","143","64","3","5","3","344","16","0","248","0","3960","5532","143","64","19","3","35","5","3","344","1933","16","34","0","0","0","248","0","0","0","1092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4187","autoconfigure","zipkin.autoconfigure","L1507","L103","0.0492096","5","18","10","0.0367232","0.0491803","117","102","0","0","0","0","0","0.103261","0.23778","647","19","165","0","0","0","0","0","0","0","0","0","4","0","0","2074","3186","124","49","117","0","35","49","1","231","573","5","31","0","0","16","180","48","0","0","704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5559","storage","zipkin.storage","L1507","L103","0.0967285","52","168","114","0","0","0","0","0.434146","0.253145","805","89","116","0.312883","0.234045","3506","204","448","2375","3751","72","35","0","98","7","260","17","5","216","3","11474","17490","515","247","128","16","146","210","14","1142","3656","97","104","0","13","9","805","17","0","0","4073","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11042","collector","zipkin.collector","L1507","L103","0.0601257","6","18","12","0","0","0","0","0.354839","0.328147","232","22","40","0.331288","0.243292","680","54","109","475","836","21","10","0","0","3","80","3","3","64","0","2115","3325","132","41","50","2","29","0","4","231","785","17","22","1","4","3","175","0","0","0","789","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12225","junit","zipkin.junit","L1507","L103","0.0266667","1","2","2","0","0","0","0","0.459459","0.24942","215","17","20","0.459459","0.24942","215","17","20","647","1007","28","14","0","13","0","69","3","0","53","0","647","1007","28","14","13","0","10","13","0","69","235","3","6","0","0","0","53","0","0","0","193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12527","execjar","zipkin.execjar","L1507","L103","0.200453","1","6","3","0.413793","0.611111","24","22","0.307692","0.288889","65","4","9","0.307692","0.288889","65","4","9","160","278","9","5","0","0","0","10","3","0","10","0","160","278","9","5","12","0","4","0","0","10","40","3","4","0","0","0","10","0","0","0","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12636","minimal","zipkin.minimal","L1507","L103","0","0","0","0","0","0","0","0","0","0.225352","16","0","3","0","0.225352","16","0","3","55","82","2","1","0","0","0","3","0","0","2","0","55","82","2","1","12","0","1","0","0","3","9","0","1","0","0","0","2","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12657","server","zipkin.server","L1507","L103","0","0","0","0","0","0","0","0","0.119048","0.235542","224","5","37","0.12963","0.24003","319","7","47","727","1087","28","17","0","7","0","64","0","1","45","0","1010","1513","42","24","14","1","18","15","0","92","256","1","11","1","0","1","66","0","0","0","280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
