"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Code Size Rules","Controversial Rules","Design Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.131337","385","3543","1028","0.086378","0.11775","9828","8681","0","0","0","0","0","0.349989","0.266129","26747","1576","2927","0","0","0","0","0","0","0","0","0","2","0","0","73757","113779","2765","1037","140","20","592","990","74","5626","36855","466","654","17","72","47","4422","279","0","0","18744","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L104","org","org","L100","L103","0.131609","385","3543","1028","0.0867853","0.118152","9828","8681","0","0","0","0","0","0.346506","0.265634","26586","1552","2927","0","0","0","0","0","0","0","0","0","1","0","0","73499","113245","2746","1034","136","20","591","980","74","5597","36753","466","653","17","72","42","4395","269","0","0","18723","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L31452","com","com","L100","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.384248","161","24","0","0","0","0","0","0","0","0","0","0","1","0","0","258","534","19","3","12","0","1","10","0","29","102","0","1","0","0","3","27","10","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L105","apache","org.apache","L104","L103","0.131609","385","3543","1028","0.0867853","0.118152","9828","8681","0","0","0","0","0","0.346506","0.265634","26586","1552","2927","0","0","0","0","0","0","0","0","0","2","0","0","73499","113245","2746","1034","136","20","591","980","74","5597","36753","466","653","17","72","41","4395","269","0","0","18723","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L31453","nitido","com.nitido","L31452","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.384248","161","24","0","0","0","0","0","0","0","0","0","0","1","0","0","258","534","19","3","12","0","1","10","0","29","102","0","1","0","0","2","27","10","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L106","zookeeper","org.apache.zookeeper","L105","L103","0.127336","369","3459","993","0","0","0","0","0.489403","0.331744","4315","254","265","0.353535","0.266843","25741","1505","2752","8692","14459","390","132","6","122","18","711","144","13","491","21","70724","109104","2687","1000","133","20","558","933","70","5233","35090","464","631","17","68","38","4136","269","0","0","17774","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L29617","jute","org.apache.jute","L105","L103","0.23514","16","84","35","0","0","0","0","0.186275","0.239596","380","19","83","0.211712","0.233425","845","47","175","1206","1818","24","15","0","8","4","190","2","1","154","0","2775","4141","59","34","14","0","33","47","4","364","1663","2","22","0","4","1","259","0","0","0","949","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L31454","utils","com.nitido.utils","L31453","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.384248","161","24","0","0","0","0","0","0","0","0","0","0","1","0","0","258","534","19","3","12","0","1","10","0","29","102","0","1","0","0","1","27","10","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L167","util","org.apache.zookeeper.util","L106","L103","0","0","0","0","0","0","0","0","1","0.341667","41","2","0","1","0.341667","41","2","0","79","127","5","2","0","0","0","3","0","0","1","0","79","127","5","2","12","0","1","0","0","3","41","0","1","0","0","0","1","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L307","graph","org.apache.zookeeper.graph","L106","L103","0.0881153","5","50","10","0","0","0","0","0.0620155","0.179128","345","8","121","0.0484848","0.233214","653","8","157","1581","2250","78","22","2","27","2","146","6","2","137","1","2147","3272","92","42","14","2","34","31","2","176","1126","6","33","2","2","2","159","1","0","0","656","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1628","server","org.apache.zookeeper.server","L106","L103","0.104405","169","1676","369","0","0","0","0","0.357062","0.262039","4364","316","569","0.360603","0.274452","12487","789","1399","12290","18792","442","136","3","302","10","1108","72","7","882","69","33011","51685","1287","417","44","7","257","625","33","2657","15929","194","284","4","32","12","2105","151","0","0","7898","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16934","inspector","org.apache.zookeeper.inspector","L106","L103","0.193906","22","124","98","0","0","0","0","1","0.390625","25","2","0","0.83871","0.296653","1232","130","25","39","72","1","2","0","0","0","2","1","4","2","0","2921","4510","133","59","18","2","27","44","7","195","1378","39","21","2","7","6","167","13","0","0","686","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18829","retry","org.apache.zookeeper.retry","L106","L103","0.107306","1","6","2","0.0899654","0.115044","26","26","0.294118","0.153558","41","5","12","0.294118","0.153558","41","5","12","226","289","3","1","0","5","0","16","0","0","16","3","226","289","3","1","12","0","1","5","0","16","94","0","1","0","0","0","16","3","0","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L18898","admin","org.apache.zookeeper.admin","L106","L103","0","0","0","0","0","0","0","0","1","0.675106","160","9","0","1","0.675106","160","9","0","77","251","1","1","0","0","0","8","0","0","8","0","77","251","1","1","10","0","1","0","0","8","21","0","1","0","0","0","8","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19042","cli","org.apache.zookeeper.cli","L106","L103","0.246897","12","163","50","0","0","0","0","0.303571","0.311731","659","34","78","0.303571","0.311731","659","34","78","1455","2381","61","29","0","10","0","99","0","0","87","6","1455","2381","61","29","10","0","27","10","0","99","667","0","27","0","0","0","87","6","0","0","520","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
