Owner_Name,Project_Name,Stars,Forks,Num_of_Methods,Num_of_Classes,Num_of_Packages
JakeWharton,ActionBarSherlock,7361,4157,2867,382,36
Activiti,Activiti,1701,1719,20635,3200,433
yangfuhai,afinal,2881,1665,746,79,19
google,agera,5982,529,1254,185,30
Freelander,Android_Data,4921,1392,17,2,5
androidannotations,androidannotations,8612,2302,4176,785,118
loopj,android-async-http,9507,4318,884,149,8
futurice,android-best-practices,12383,2384,50,24,13
Bearded-Hen,Android-Bootstrap,5644,1283,527,54,13
hmkcode,Android,1688,2565,394,65,41
android10,Android-CleanArchitecture,7001,1828,760,84,14
Trinea,android-common,3963,2569,210,97,15
ksoichiro,Android-ObservableScrollView,6744,1758,1164,327,26
chrisbanes,Android-PullToRefresh,7746,5071,413,70,11
umano,AndroidSlidingUpPanel,5569,1754,160,15,5
etsy,AndroidStaggeredGrid,4406,1215,305,36,7
daimajia,AndroidSwipeLayout,6964,2033,316,62,11
liaohuqiu,android-Ultra-Pull-To-Refresh,6606,2299,570,159,19
nostra13,Android-Universal-Image-Loader,14510,6317,815,121,26
googlesamples,android-UniversalMusicPlayer,6660,2155,539,122,10
Blankj,AndroidUtilCode,6401,1991,981,106,8
daimajia,AndroidViewAnimations,6346,1617,127,80,18
mcxiaoke,android-volley,4217,1757,572,117,7
apache,apache_storm,3719,2812,21534,3327,298
paolorotolo,AppIntro,5368,996,299,62,17
CymChad,BaseRecyclerViewAdapterHelper,4564,1000,443,97,19
bazelbuild,bazel,5206,662,33713,5629,213
bigbluebutton,bigbluebutton,1680,3216,11409,1629,186
roughike,BottomBar,5169,914,270,44,7
JakeWharton,butterknife,13193,2887,454,140,19
chrisjenx,Calligraphy,5213,677,116,24,6
gabrielemariotti,cardslib,4547,1296,3417,752,60
chrisbanes,cheesesquare,6129,1559,29,10,5
hdodenhof,CircleImageView,5472,1630,36,2,5
clojure,clojure,5865,1010,4137,367,10
aporter,coursera-android,4213,5919,923,353,137
careercup,ctci,2836,1738,1139,298,119
sgolivernet,curso-android-src,394,1721,431,717,46
commonsguy,cw-omnibus,3428,3025,8992,2163,439
square,dagger,5769,1652,839,434,22
deeplearning4j,deeplearning4j,4733,1693,10720,1327,297
LMAX-Exchange,disruptor,5101,1404,1155,294,18
bauerca,drag-sort-listview,2972,1631,324,68,6
DroidPluginTeam,DroidPlugin,4119,1851,1451,775,21
dropwizard,dropwizard,5217,2282,4227,971,102
alibaba,druid,4832,2561,23110,3324,220
alibaba,dubbo,6572,6619,10192,1442,296
